Embarked,Sex,Pclass,Age,SibSp,Parch,Fare,Survived
S,male,3,22,1,0,7.25,0
C,female,1,38,1,0,71.2833,1
S,female,3,26,0,0,7.925,1
S,female,1,35,1,0,53.1,1
S,male,3,35,0,0,8.05,0
Q,male,3,,0,0,8.4583,0
S,male,1,54,0,0,51.8625,0
S,male,3,2,3,1,21.075,0
S,female,3,27,0,2,11.1333,1
C,female,2,14,1,0,30.0708,1
S,female,3,4,1,1,16.7,1
S,female,1,58,0,0,26.55,1
S,male,3,20,0,0,8.05,0
S,male,3,39,1,5,31.275,0
S,female,3,14,0,0,7.8542,0
S,female,2,55,0,0,16,1
Q,male,3,2,4,1,29.125,0
S,male,2,,0,0,13,1
S,female,3,31,1,0,18,0
C,female,3,,0,0,7.225,1
S,male,2,35,0,0,26,0
S,male,2,34,0,0,13,1
Q,female,3,15,0,0,8.0292,1
S,male,1,28,0,0,35.5,1
S,female,3,8,3,1,21.075,0
S,female,3,38,1,5,31.3875,1
C,male,3,,0,0,7.225,0
S,male,1,19,3,2,263,0
Q,female,3,,0,0,7.8792,1
S,male,3,,0,0,7.8958,0
C,male,1,40,0,0,27.7208,0
C,female,1,,1,0,146.5208,1
Q,female,3,,0,0,7.75,1
S,male,2,66,0,0,10.5,0
C,male,1,28,1,0,82.1708,0
S,male,1,42,1,0,52,0
C,male,3,,0,0,7.2292,1
S,male,3,21,0,0,8.05,0
S,female,3,18,2,0,18,0
C,female,3,14,1,0,11.2417,1
S,female,3,40,1,0,9.475,0
S,female,2,27,1,0,21,0
C,male,3,,0,0,7.8958,0
C,female,2,3,1,2,41.5792,1
Q,female,3,19,0,0,7.8792,1
S,male,3,,0,0,8.05,0
Q,male,3,,1,0,15.5,0
Q,female,3,,0,0,7.75,1
C,male,3,,2,0,21.6792,0
S,female,3,18,1,0,17.8,0
S,male,3,7,4,1,39.6875,0
S,male,3,21,0,0,7.8,0
C,female,1,49,1,0,76.7292,1
S,female,2,29,1,0,26,1
C,male,1,65,0,1,61.9792,0
S,male,1,,0,0,35.5,1
S,female,2,21,0,0,10.5,1
C,male,3,28.5,0,0,7.2292,0
S,female,2,5,1,2,27.75,1
S,male,3,11,5,2,46.9,0
C,male,3,22,0,0,7.2292,0
S,female,1,38,0,0,80,1
S,male,1,45,1,0,83.475,0
S,male,3,4,3,2,27.9,0
C,male,1,,0,0,27.7208,0
C,male,3,,1,1,15.2458,1
S,female,2,29,0,0,10.5,1
S,male,3,19,0,0,8.1583,0
S,female,3,17,4,2,7.925,1
S,male,3,26,2,0,8.6625,0
S,male,2,32,0,0,10.5,0
S,female,3,16,5,2,46.9,0
S,male,2,21,0,0,73.5,0
C,male,3,26,1,0,14.4542,0
S,male,3,32,0,0,56.4958,1
S,male,3,25,0,0,7.65,0
S,male,3,,0,0,7.8958,0
S,male,3,,0,0,8.05,0
S,male,2,0.83,0,2,29,1
S,female,3,30,0,0,12.475,1
S,male,3,22,0,0,9,0
S,male,3,29,0,0,9.5,1
Q,female,3,,0,0,7.7875,1
S,male,1,28,0,0,47.1,0
S,female,2,17,0,0,10.5,1
S,female,3,33,3,0,15.85,1
S,male,3,16,1,3,34.375,0
S,male,3,,0,0,8.05,0
S,female,1,23,3,2,263,1
S,male,3,24,0,0,8.05,0
S,male,3,29,0,0,8.05,0
S,male,3,20,0,0,7.8542,0
S,male,1,46,1,0,61.175,0
S,male,3,26,1,2,20.575,0
S,male,3,59,0,0,7.25,0
S,male,3,,0,0,8.05,0
C,male,1,71,0,0,34.6542,0
C,male,1,23,0,1,63.3583,1
S,female,2,34,0,1,23,1
S,male,2,34,1,0,26,0
S,female,3,28,0,0,7.8958,0
S,male,3,,0,0,7.8958,0
S,male,1,21,0,1,77.2875,0
S,male,3,33,0,0,8.6542,0
S,male,3,37,2,0,7.925,0
S,male,3,28,0,0,7.8958,0
S,female,3,21,0,0,7.65,1
S,male,3,,0,0,7.775,1
S,male,3,38,0,0,7.8958,0
Q,female,3,,1,0,24.15,1
S,male,1,47,0,0,52,0
C,female,3,14.5,1,0,14.4542,0
S,male,3,22,0,0,8.05,0
S,female,3,20,1,0,9.825,0
C,female,3,17,0,0,14.4583,0
S,male,3,21,0,0,7.925,0
Q,male,3,70.5,0,0,7.75,0
S,male,2,29,1,0,21,0
C,male,1,24,0,1,247.5208,0
S,female,3,2,4,2,31.275,0
S,male,2,21,2,0,73.5,0
S,male,3,,0,0,8.05,0
C,male,2,32.5,1,0,30.0708,0
S,female,2,32.5,0,0,13,1
S,male,1,54,0,1,77.2875,0
C,male,3,12,1,0,11.2417,1
Q,male,3,,0,0,7.75,0
S,male,3,24,0,0,7.1417,1
C,female,3,,1,1,22.3583,1
S,male,3,45,0,0,6.975,0
C,male,3,33,0,0,7.8958,0
S,male,3,20,0,0,7.05,0
S,female,3,47,1,0,14.5,0
S,female,2,29,1,0,26,1
S,male,2,25,0,0,13,0
C,male,2,23,0,0,15.0458,0
S,female,1,19,0,2,26.2833,1
S,male,1,37,1,0,53.1,0
S,male,3,16,0,0,9.2167,0
C,male,1,24,0,0,79.2,0
C,female,3,,0,2,15.2458,0
S,female,3,22,0,0,7.75,1
S,female,3,24,1,0,15.85,1
Q,male,3,19,0,0,6.75,0
S,male,2,18,0,0,11.5,0
S,male,2,19,1,1,36.75,0
S,male,3,27,0,0,7.7958,1
S,female,3,9,2,2,34.375,0
S,male,2,36.5,0,2,26,0
S,male,2,42,0,0,13,0
S,male,2,51,0,0,12.525,0
S,female,1,22,1,0,66.6,1
S,male,3,55.5,0,0,8.05,0
S,male,3,40.5,0,2,14.5,0
S,male,3,,0,0,7.3125,0
C,male,1,51,0,1,61.3792,0
Q,female,3,16,0,0,7.7333,1
S,male,3,30,0,0,8.05,0
S,male,3,,0,0,8.6625,0
S,male,3,,8,2,69.55,0
S,male,3,44,0,1,16.1,0
S,female,2,40,0,0,15.75,1
S,male,3,26,0,0,7.775,0
S,male,3,17,0,0,8.6625,0
S,male,3,1,4,1,39.6875,0
S,male,3,9,0,2,20.525,1
S,female,1,,0,1,55,1
S,female,3,45,1,4,27.9,0
S,male,1,,0,0,25.925,0
S,male,3,28,0,0,56.4958,0
S,male,1,61,0,0,33.5,0
Q,male,3,4,4,1,29.125,0
S,female,3,1,1,1,11.1333,1
S,male,3,21,0,0,7.925,0
C,male,1,56,0,0,30.6958,0
S,male,3,18,1,1,7.8542,0
S,male,3,,3,1,25.4667,0
C,female,1,50,0,0,28.7125,0
S,male,2,30,0,0,13,0
S,male,3,36,0,0,0,0
S,female,3,,8,2,69.55,0
C,male,2,,0,0,15.05,0
S,male,3,9,4,2,31.3875,0
S,male,2,1,2,1,39,1
S,female,3,4,0,2,22.025,1
S,male,1,,0,0,50,0
Q,female,3,,1,0,15.5,1
S,male,1,45,0,0,26.55,1
Q,male,3,40,1,1,15.5,0
S,male,3,36,0,0,7.8958,0
S,female,2,32,0,0,13,1
S,male,2,19,0,0,13,0
S,female,3,19,1,0,7.8542,1
S,male,2,3,1,1,26,1
C,female,1,44,0,0,27.7208,1
C,female,1,58,0,0,146.5208,1
Q,male,3,,0,0,7.75,0
S,male,3,42,0,1,8.4042,0
Q,female,3,,0,0,7.75,1
S,female,2,24,0,0,13,0
S,male,3,28,0,0,9.5,0
S,male,3,,8,2,69.55,0
S,male,3,34,0,0,6.4958,0
C,male,3,45.5,0,0,7.225,0
S,male,3,18,0,0,8.05,1
S,female,3,2,0,1,10.4625,0
S,male,3,32,1,0,15.85,0
C,male,3,26,0,0,18.7875,1
Q,female,3,16,0,0,7.75,1
C,male,1,40,0,0,31,1
S,male,3,24,0,0,7.05,0
S,female,2,35,0,0,21,1
S,male,3,22,0,0,7.25,0
S,male,2,30,0,0,13,0
Q,male,3,,1,0,7.75,0
C,female,1,31,1,0,113.275,1
S,female,3,27,0,0,7.925,1
S,male,2,42,1,0,27,0
C,female,1,32,0,0,76.2917,1
S,male,2,30,0,0,10.5,0
S,male,3,16,0,0,8.05,1
S,male,2,27,0,0,13,0
S,male,3,51,0,0,8.05,0
S,male,3,,0,0,7.8958,0
S,male,1,38,1,0,90,1
S,male,3,22,0,0,9.35,0
S,male,2,19,0,0,10.5,1
S,male,3,20.5,0,0,7.25,0
S,male,2,18,0,0,13,0
S,female,3,,3,1,25.4667,0
S,female,1,35,1,0,83.475,1
S,male,3,29,0,0,7.775,0
S,male,2,59,0,0,13.5,0
S,female,3,5,4,2,31.3875,1
S,male,2,24,0,0,10.5,0
S,female,3,,0,0,7.55,0
S,male,2,44,1,0,26,0
S,female,2,8,0,2,26.25,1
S,male,2,19,0,0,10.5,0
S,male,2,33,0,0,12.275,0
C,female,3,,1,0,14.4542,0
Q,female,3,,1,0,15.5,1
S,male,2,29,0,0,10.5,0
S,male,3,22,0,0,7.125,0
C,male,3,30,0,0,7.225,0
Q,male,1,44,2,0,90,0
S,female,3,25,0,0,7.775,0
S,female,2,24,0,2,14.5,1
S,male,1,37,1,1,52.5542,1
S,male,2,54,1,0,26,0
S,male,3,,0,0,7.25,0
S,female,3,29,1,1,10.4625,0
S,male,1,62,0,0,26.55,0
S,male,3,30,1,0,16.1,0
S,female,3,41,0,2,20.2125,0
C,female,3,29,0,2,15.2458,1
C,female,1,,0,0,79.2,1
S,female,1,30,0,0,86.5,1
C,female,1,35,0,0,512.3292,1
S,female,2,50,0,1,26,1
Q,male,3,,0,0,7.75,0
S,male,3,3,4,2,31.3875,1
S,male,1,52,1,1,79.65,0
S,male,1,40,0,0,0,0
Q,female,3,,0,0,7.75,0
S,male,2,36,0,0,10.5,0
S,male,3,16,4,1,39.6875,0
S,male,3,25,1,0,7.775,1
S,female,1,58,0,1,153.4625,1
S,female,1,35,0,0,135.6333,1
S,male,1,,0,0,31,0
S,male,3,25,0,0,0,1
S,female,2,41,0,1,19.5,1
C,male,1,37,0,1,29.7,0
Q,female,3,,0,0,7.75,1
S,female,1,63,1,0,77.9583,1
S,female,3,45,0,0,7.75,0
S,male,2,,0,0,0,0
Q,male,3,7,4,1,29.125,0
S,female,3,35,1,1,20.25,1
Q,male,3,65,0,0,7.75,0
S,male,3,28,0,0,7.8542,0
S,male,3,16,0,0,9.5,0
S,male,3,19,0,0,8.05,1
S,male,1,,0,0,26,0
C,male,3,33,0,0,8.6625,0
S,male,3,30,0,0,9.5,1
S,male,3,22,0,0,7.8958,0
S,male,2,42,0,0,13,1
Q,female,3,22,0,0,7.75,1
S,female,1,26,0,0,78.85,1
C,female,1,19,1,0,91.0792,1
C,male,2,36,0,0,12.875,0
S,female,3,24,0,0,8.85,0
S,male,3,24,0,0,7.8958,0
C,male,1,,0,0,27.7208,0
C,male,3,23.5,0,0,7.2292,0
S,female,1,2,1,2,151.55,0
S,male,1,,0,0,30.5,1
C,female,1,50,0,1,247.5208,1
Q,female,3,,0,0,7.75,1
Q,male,3,,2,0,23.25,1
S,male,3,19,0,0,0,0
Q,female,2,,0,0,12.35,1
S,male,3,,0,0,8.05,0
S,male,1,0.92,1,2,151.55,1
C,female,1,,0,0,110.8833,1
C,female,1,17,1,0,108.9,1
C,male,2,30,1,0,24,0
C,female,1,30,0,0,56.9292,1
C,female,1,24,0,0,83.1583,1
C,female,1,18,2,2,262.375,1
S,female,2,26,1,1,26,0
S,male,3,28,0,0,7.8958,0
S,male,2,43,1,1,26.25,0
S,female,3,26,0,0,7.8542,1
S,female,2,24,1,0,26,1
S,male,2,54,0,0,14,0
S,female,1,31,0,2,164.8667,1
C,female,1,40,1,1,134.5,1
S,male,3,22,0,0,7.25,0
S,male,3,27,0,0,7.8958,0
Q,female,2,30,0,0,12.35,1
S,female,2,22,1,1,29,1
S,male,3,,8,2,69.55,0
C,female,1,36,0,0,135.6333,1
S,male,3,61,0,0,6.2375,0
S,female,2,36,0,0,13,1
S,female,3,31,1,1,20.525,1
C,female,1,16,0,1,57.9792,1
Q,female,3,,2,0,23.25,1
S,male,1,45.5,0,0,28.5,0
S,male,1,38,0,1,153.4625,0
S,male,3,16,2,0,18,0
S,female,1,,1,0,133.65,1
S,male,3,,0,0,7.8958,0
S,male,1,29,1,0,66.6,0
C,female,1,41,0,0,134.5,1
S,male,3,45,0,0,8.05,1
S,male,1,45,0,0,35.5,0
S,male,2,2,1,1,26,1
S,female,1,24,3,2,263,1
S,male,2,28,0,0,13,0
S,male,2,25,0,0,13,0
S,male,2,36,0,0,13,0
S,female,2,24,0,0,13,1
S,female,2,40,0,0,13,1
S,female,3,,1,0,16.1,1
S,male,3,3,1,1,15.9,1
S,male,3,42,0,0,8.6625,0
S,male,3,23,0,0,9.225,0
S,male,1,,0,0,35,0
C,male,3,15,1,1,7.2292,0
S,male,3,25,1,0,17.8,0
C,male,3,,0,0,7.225,0
S,male,3,28,0,0,9.5,0
S,female,1,22,0,1,55,1
S,female,2,38,0,0,13,0
Q,female,3,,0,0,7.8792,1
Q,female,3,,0,0,7.8792,1
S,male,3,40,1,4,27.9,0
C,male,2,29,1,0,27.7208,0
C,female,3,45,0,1,14.4542,0
S,male,3,35,0,0,7.05,0
Q,male,3,,1,0,15.5,0
S,male,3,30,0,0,7.25,0
C,female,1,60,1,0,75.25,1
C,female,3,,0,0,7.2292,1
Q,female,3,,0,0,7.75,1
C,female,1,24,0,0,69.3,1
C,male,1,25,1,0,55.4417,1
S,male,3,18,1,0,6.4958,0
S,male,3,19,0,0,8.05,0
C,male,1,22,0,0,135.6333,0
S,female,3,3,3,1,21.075,0
C,female,1,,1,0,82.1708,1
S,female,3,22,0,0,7.25,1
C,male,1,27,0,2,211.5,0
C,male,3,20,0,0,4.0125,0
S,male,3,19,0,0,7.775,0
C,female,1,42,0,0,227.525,1
C,female,3,1,0,2,15.7417,1
S,male,3,32,0,0,7.925,0
S,female,1,35,1,0,52,1
S,male,3,,0,0,7.8958,0
S,male,2,18,0,0,73.5,0
S,male,3,1,5,2,46.9,0
S,female,2,36,0,0,13,1
Q,male,3,,0,0,7.7292,0
C,female,2,17,0,0,12,1
S,male,1,36,1,2,120,1
S,male,3,21,0,0,7.7958,1
S,male,3,28,2,0,7.925,0
C,female,1,23,1,0,113.275,1
S,female,3,24,0,2,16.7,1
S,male,3,22,0,0,7.7958,0
S,female,3,31,0,0,7.8542,0
S,male,2,46,0,0,26,0
S,male,2,23,0,0,10.5,0
S,female,2,28,0,0,12.65,1
S,male,3,39,0,0,7.925,1
S,male,3,26,0,0,8.05,0
S,female,3,21,1,0,9.825,0
S,male,3,28,1,0,15.85,0
S,female,3,20,0,0,8.6625,0
S,male,2,34,1,0,21,0
S,male,3,51,0,0,7.75,0
S,male,2,3,1,1,18.75,1
S,male,3,21,0,0,7.775,0
S,female,3,,3,1,25.4667,0
S,male,3,,0,0,7.8958,0
Q,male,3,,0,0,6.8583,0
Q,female,1,33,1,0,90,1
S,male,2,,0,0,0,0
S,male,3,44,0,0,7.925,1
S,female,3,,0,0,8.05,0
S,female,2,34,1,1,32.5,1
S,female,2,18,0,2,13,1
S,male,2,30,0,0,13,0
S,female,3,10,0,2,24.15,0
C,male,3,,0,0,7.8958,0
Q,male,3,21,0,0,7.7333,0
S,male,3,29,0,0,7.875,0
S,female,3,28,1,1,14.4,0
S,male,3,18,1,1,20.2125,0
S,male,3,,0,0,7.25,0
S,female,2,28,1,0,26,1
S,female,2,19,0,0,26,1
Q,male,3,,0,0,7.75,0
S,male,3,32,0,0,8.05,1
S,male,1,28,0,0,26.55,1
S,female,3,,1,0,16.1,1
S,female,2,42,1,0,26,1
S,male,3,17,0,0,7.125,0
S,male,1,50,1,0,55.9,0
S,female,1,14,1,2,120,1
S,female,3,21,2,2,34.375,0
S,female,2,24,2,3,18.75,1
S,male,1,64,1,4,263,0
S,male,2,31,0,0,10.5,0
S,female,2,45,1,1,26.25,1
S,male,3,20,0,0,9.5,0
S,male,3,25,1,0,7.775,0
